"search-number","evaluation","turret-adjust*","vision-angle1*","vision-dist1*","vision-angle2*","vision-dist2*","vision-angle3*","vision-dist3*","v1?*","v2?*","v3?*","seen-chance1*","seen-chance2*","seen-chance3*","num-replicates","best-fitness-so-far"
"3","299","3","13","25","82","4.5","18","10.5","true","true","true","70","100","95","1","6.506297831298557"
"3","329","3","13","25","82","4.5","18","10.5","true","true","true","70","100","100","1","6.424978412489129"
"3","379","3","13","25","82","4.5","18","10.5","true","true","true","60","100","100","1","6.419844521672006"
"3","456","3","13","25","82","4.5","18","11","true","true","true","60","100","100","1","6.419844521672001"
"4","1","2","107","25","26","2.5","82","19.5","true","true","true","25","55","60","1","26.30660920532523"
"4","4","-2","48","25","22","19.5","24","3.5","true","true","true","95","30","95","1","14.430162625925346"
"4","7","0.5","24","25","99","5.5","57","8","true","true","true","85","80","60","1","8.859395109730059"
"4","28","0.5","24","25","99","5.5","57","4.5","true","true","true","25","55","60","1","8.833046491052123"
"4","42","0.5","24","25","99","5.5","57","8","true","true","true","60","65","60","1","8.515441376917064"
"4","51","0","24","25","99","5.5","57","8","true","true","true","60","65","90","1","8.376563496902369"
"4","55","0.5","24","25","99","3.5","57","4.5","true","true","true","25","55","60","1","8.352623931658842"
"4","58","0","24","25","99","5.5","57","8","true","true","true","25","55","90","1","8.122741951490141"
"4","69","0","24","25","99","3.5","57","8","true","true","true","60","65","90","1","7.813706280911637"
"4","70","0","24","25","99","3.5","57","8","true","true","true","25","55","90","1","7.59921603102705"
"4","85","0","24","25","99","3.5","57","8","true","true","true","10","55","90","1","7.587791718251214"
"4","87","0","24","25","99","3.5","41","8","true","true","true","25","55","90","1","7.46474452581092"
"4","89","0","24","25","99","3.5","50","8","true","true","true","10","55","90","1","7.4236259743019275"
"4","104","0","10","25","99","3.5","50","8","true","true","true","10","55","90","1","7.297533364362534"
"4","114","0","10","25","99","2.5","50","8","true","true","true","10","55","90","1","7.2862309427422876"
"4","115","0","10","25","99","3.5","50","8","true","true","true","10","55","100","1","6.975002766509057"
"4","117","0","10","25","99","2.5","50","8","true","true","true","10","55","100","1","6.948998804474628"
"4","126","0","10","25","99","2.5","50","8","true","true","true","10","60","100","1","6.938862686976425"
"4","138","0.5","13","25","99","2.5","50","8","true","true","true","10","55","100","1","6.926502519355438"
"4","139","0.5","13","25","99","2.5","50","8","true","true","true","10","60","100","1","6.916327305395612"
"4","146","0.5","10","25","99","2.5","50","8","true","true","true","10","60","100","1","6.912223887785514"
"4","151","1","13","25","99","2.5","50","8","true","true","true","10","60","100","1","6.894880815544858"
"4","158","0.5","13","25","99","2.5","50","8","true","true","true","20","60","100","1","6.8943736581423085"
"4","169","0.5","13","25","92","2.5","50","8","true","true","true","20","60","100","1","6.894373658142307"
"4","172","1","13","25","99","2.5","50","8","true","true","true","10","65","100","1","6.885133680180026"
"4","178","1","13","25","99","2.5","50","8","true","true","true","15","65","100","1","6.8689455892618785"
"4","184","1","10","25","99","2.5","50","8","true","true","true","15","65","100","1","6.866417135105448"
"4","191","1","10","25","99","2.5","50","8","true","true","true","10","80","100","1","6.846538996561026"
"4","205","1","10","25","99","2.5","47","8","true","true","true","10","80","100","1","6.8338627939936245"
"4","215","1","10","25","99","2.5","47","8","true","true","true","10","95","100","1","6.80408405921499"
"4","217","2","10","25","99","2.5","47","8","true","true","true","10","80","100","1","6.803821195686755"
"4","223","2","10","25","99","2.5","47","8","true","true","true","10","95","100","1","6.776228637879692"
"4","231","2","10","25","99","2.5","47","8","true","true","true","20","80","100","1","6.7562396967634255"
"4","242","2","10","25","89","2.5","47","8","true","true","true","20","80","100","1","6.7562396967634175"
"4","243","3","10","25","99","2.5","47","8","true","true","true","20","80","100","1","6.723671203638111"
"4","258","3","10","25","99","2.5","47","8","true","true","true","20","90","100","1","6.705838027329709"
"4","270","3","10","25","99","3","47","8","true","true","true","20","90","100","1","6.698427780373488"
"4","287","3","10","25","97","3","47","8","true","true","true","20","90","100","1","6.696391933318719"
"4","288","3","10","25","99","3","48","8","true","true","true","20","90","100","1","6.686967306709716"
"4","291","3","10","25","97","3","48","8","true","true","true","20","90","100","1","6.684963747933825"
"4","294","3","10","25","99","3","47","8","true","true","true","30","90","100","1","6.63495191221938"
"4","299","3","10","25","99","3","48","8","true","true","true","30","90","100","1","6.623151421558098"
"4","312","3","10","25","99","3","48","8","true","true","true","30","95","100","1","6.613826872251009"
"4","315","3","15","25","99","3","48","8","true","true","true","30","90","100","1","6.602781709368529"
"4","324","3","15","25","89","3","48","8","true","true","true","30","90","100","1","6.594869123074446"
"4","326","3","10","25","99","3","48","8","true","true","true","40","90","100","1","6.561192208587801"
"4","338","3","15","25","99","3","48","8","true","true","true","40","90","100","1","6.531210742087206"
"4","341","3","15","25","89","3","48","8","true","true","true","40","90","100","1","6.5237001614867625"
"4","346","3","15","25","89","3","48","8","true","true","true","40","95","100","1","6.513924670055694"
"4","369","3","15","25","89","3","48","8","true","true","true","55","95","100","1","6.473233312950607"
"4","375","3","15","25","89","3","48","8","true","true","true","70","95","100","1","6.455659719271283"
"4","377","3","14","25","89","3","48","8","true","true","true","55","95","100","1","6.427967304734272"
"4","380","3","14","25","89","3","48","8","true","true","true","70","100","100","1","6.357972095759081"
"4","437","3","14","25","87","3","48","8","true","true","true","70","100","100","1","6.356294371506878"
"4","445","3","14","25","87","3","49","8","true","true","true","70","100","100","1","6.353877991682547"
"5","1","1.5","28","25","65","15.5","14","11","true","true","true","70","60","30","1","14.285840051266533"
"5","9","1.5","19","25","120","8.5","89","7","true","true","true","60","75","40","1","13.742020606354071"
"5","14","-1","15","25","97","4","45","10.5","true","true","true","15","70","15","1","8.804043430592996"
"5","48","-1","15","25","97","4","45","10.5","true","true","true","50","65","15","1","8.76650168990639"
"5","50","3","26","25","22","20.5","48","10.5","true","true","true","15","70","50","1","8.567075051691777"
"5","62","3","26","25","108","4","45","10.5","true","true","true","50","65","50","1","8.310310869662109"
"5","65","3","15","25","97","4","45","10.5","true","true","true","35","70","50","1","7.732366238192844"
"5","69","3","15","25","97","4","45","10.5","true","true","true","50","65","50","1","7.663324424480687"
"5","84","3","15","25","97","4","45","10","true","true","true","35","70","50","1","7.602772768492633"
"5","85","3","15","25","97","4","45","8.5","true","true","true","50","65","50","1","7.49169918446135"
"5","105","3","15","25","97","4","45","8.5","true","true","true","50","65","60","1","7.372260808835639"
"5","109","3","15","25","97","4","45","8.5","true","true","true","55","65","60","1","7.3615718283770075"
"5","118","3","15","25","97","4","37","8.5","true","true","true","55","65","70","1","7.2705196533055805"
"5","126","3","15","25","97","4","37","8.5","true","true","true","55","65","80","1","7.187568044797996"
"5","133","3","15","25","97","4","37","8.5","true","true","true","55","65","100","1","6.867961003723032"
"5","136","3","15","25","84","4","37","8.5","true","true","true","55","65","100","1","6.851632349593199"
"5","140","3","15","25","97","4","37","8","true","true","true","55","65","100","1","6.832726279552771"
"5","144","3","15","25","97","4","37","8","true","true","true","60","65","100","1","6.817394495622846"
"5","157","3","15","25","97","4","51","8","true","true","true","60","65","100","1","6.5982210346436805"
"5","171","3","15","25","97","4","51","8","true","true","true","60","80","100","1","6.566506744381513"
"5","191","3","12","25","97","4","51","8","true","true","true","60","80","100","1","6.532937407763351"
"5","209","3","12","25","88","4","51","8","true","true","true","60","80","100","1","6.5193990608576815"
"5","214","3","12","25","97","4","51","8","true","true","true","60","95","100","1","6.5049481511457286"
"5","215","3","12","25","97","4","51","8","true","true","true","70","95","100","1","6.479658418789674"
"5","221","3","12","25","88","4","51","8","true","true","true","70","95","100","1","6.466244179742379"
"5","234","3","12","25","88","4","51","8","true","true","true","70","100","100","1","6.405673088943344"
"5","252","3","12","25","88","4","49","8","true","true","true","70","100","100","1","6.380627293245459"
"5","285","3","12","25","88","3.5","49","8","true","true","true","70","100","100","1","6.364628428550544"
"5","320","3","12","25","88","3","49","8","true","true","true","70","100","100","1","6.357465651249262"
"5","354","3","12","25","88","3","49","8","true","true","true","80","100","100","1","6.3514875720628305"
"5","373","3","12","25","88","3","49","8","true","true","true","100","100","100","1","6.340726007860713"
"5","423","3","12","25","93","3","49","8","true","true","true","100","100","100","1","6.340186809825747"
